brsr_id,brsr_text,gri_standard,gri_disclosure,gri_subpoint,esrs_datapoint_id,esrs_name,esrs_dr,esrs_paragraph,esrs_data_type,brsr_gri_match_type,brsr_gri_mapping_semantics,interop_mapping_type,interop_esrs_requirement,interop_notes,interop_explanation,expansion_count,precision_class,precision_reason,precision_score,precision_evidence
P4-E2,,,2-29,2-29,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-E2,,,2-29,2-29-A-I-III,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-E2,,,3-1,3-1,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P4-E2,,,3-1,3-1-B,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P4-L1,,,2-12,2-12,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P4-L1,,,2-13,2-13,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P4-L1,,,2-29,2-29-A-I,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-L2,,,3-1,3-1,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P4-L2,,,3-1,3-1-A-I-II,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P4-L2,,,3-1,3-1-B,,,,,,,,,,,,8,low_precision,no_esrs_datapoint,0,
P4-L3,,,2-29,2-29,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-L3,,,2-29,2-29-A-I,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-L3,,,2-29,2-29-A-I-III,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P4-L3,,,2-29,2-29-A-III,,,,,,,,,,,,31,low_precision,no_esrs_datapoint,0,
P5-E1,,,2-24,2-24,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E1,,,2-24,2-24-A-IV,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E1,,,205-2,205-2,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P5-E1,,,205-2,205-2-E,,,,,,,,,,,,5,low_precision,no_esrs_datapoint,0,
P5-E1,,,404-1,404-1,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P5-E1,,,404-1,404-1-A-I-II,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P5-E10,,,3-3,3-3,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-E10,,,3-3,3-3-D-I-II,,,,,,,,,,,,186,low_precision,no_esrs_datapoint,0,
P5-E2,,,202-1,202-1,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P5-E2,,,202-1,202-1-A,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P5-E2,,,202-1,202-1-B,,,,,,,,,,,,4,low_precision,no_esrs_datapoint,0,
P5-E2,,,405-2,405-2,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E2,,,405-2,405-2-A,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E3,,,2-19,2-19,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E3,,,2-19,2-19-A-I-V,,,,,,,,,,,,6,low_precision,no_esrs_datapoint,0,
P5-E3,,,2-21,2-21,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P5-E3,,,2-21,2-21-A,,,,,,,,,,,,2,low_precision,no_esrs_datapoint,0,
P5-E4,,,2-13,2-13,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E4,,,2-13,2-13-A-I-II,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E5,,,2-25,2-25,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E5,,,2-25,2-25-B,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E5,,,2-25,2-25-D,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E5,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E6,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E6,,,406-1,406-1,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E6,,,406-1,406-1-A,,,,,,,,,,,,3,low_precision,no_esrs_datapoint,0,
P5-E7,,,2-25,2-25,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E7,,,2-25,2-25-E,,,,,,,,,,,,43,low_precision,no_esrs_datapoint,0,
P5-E8,,,2-23,2-23,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
P5-E8,,,2-23,2-23-A-IV,,,,,,,,,,,,20,low_precision,no_esrs_datapoint,0,
