brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P8-E3,2-25-B,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P8-E3,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P8-L1,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P8-L1,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P8-L3,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P8-L5,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P8-L5,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P9-E1,2-25-B,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P9-E1,2-25-D,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P9-E1,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P9-E5,2-23-A,2-23,20,very_high_expansion,partial_requirement,can_be_covered_by,partial,low_precision,expansion_20
P9-E5,2-23-C,2-23,20,very_high_expansion,partial_requirement,can_be_covered_by,partial,low_precision,expansion_20
P9-E5,3-3,3-3,186,very_high_expansion,direct,can_be_covered_by,partial,low_precision,gri_3-3_high_expansion
P9-E6,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P9-E6,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P9-L1,2-6-B-I,2-6,11,high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_11
P9-L2,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
