brsr_id,gri_code,gri_disclosure,esrs_datapoint_count,expansion_class,interop_support,brsr_match_type,brsr_mapping_semantics,precision_class,precision_reason
P4-E1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E2,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E2,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-E2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-E2,3-1-B,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L1,2-12,2-12,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P4-L1,2-13,2-13,3,moderate_expansion,direct,direct,direct,review,small_expansion
P4-L1,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L2,3-1,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L2,3-1-A-I-II,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L2,3-1-B,3-1,8,high_expansion,direct,direct,direct,low_precision,expansion_8
P4-L3,2-29,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-I,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-I-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P4-L3,2-29-A-III,2-29,31,very_high_expansion,direct,direct,direct,low_precision,expansion_31
P5-E1,2-24,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E1,2-24-A-IV,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E1,205-2,205-2,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P5-E1,205-2-E,205-2,5,moderate_expansion,direct,direct,direct,low_precision,expansion_5
P5-E1,404-1,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E1,404-1-A-I-II,404-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E10,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
P5-E10,3-3-D-I-II,3-3,186,very_high_expansion,direct,direct,direct,low_precision,expansion_186
P5-E2,202-1,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E2,202-1-A,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E2,202-1-B,202-1,4,moderate_expansion,direct,direct,direct,low_precision,expansion_4
P5-E2,405-2,405-2,3,moderate_expansion,direct,direct,direct,review,small_expansion
P5-E2,405-2-A,405-2,3,moderate_expansion,direct,direct,direct,review,small_expansion
P5-E3,2-19,2-19,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P5-E3,2-19-A-I-V,2-19,6,high_expansion,partial_requirement,direct,direct,low_precision,expansion_6
P5-E3,2-21,2-21,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P5-E3,2-21-A,2-21,2,moderate_expansion,partial_requirement,direct,direct,review,small_expansion
P5-E4,2-13,2-13,3,moderate_expansion,direct,direct,direct,review,small_expansion
P5-E4,2-13-A-I-II,2-13,3,moderate_expansion,direct,direct,direct,review,small_expansion
P5-E5,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-B,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-D,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E5,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E6,2-25-E,2-25,43,very_high_expansion,direct,can_be_covered_by,partial,low_precision,expansion_43
P5-E6,406-1,406-1,3,moderate_expansion,direct,can_be_covered_by,partial,review,small_expansion
P5-E6,406-1-A,406-1,3,moderate_expansion,direct,can_be_covered_by,partial,review,small_expansion
P5-E7,2-25,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E7,2-25-E,2-25,43,very_high_expansion,direct,direct,direct,low_precision,expansion_43
P5-E8,2-23,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-A-IV,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-E,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-23-F,2-23,20,very_high_expansion,partial_requirement,direct,direct,low_precision,expansion_20
P5-E8,2-24,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E8,2-24-A-III,2-24,6,high_expansion,direct,direct,direct,low_precision,expansion_6
P5-E8,3-3,3-3,186,very_high_expansion,direct,direct,direct,low_precision,gri_3-3_high_expansion
